2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '邱老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '王老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '冯老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '黄老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '宋老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '王老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '肖老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '殷老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '郑老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '刘老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '董老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '黄老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '马老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '滕老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '郑老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '胡老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '芮老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '何老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '蒋老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '李老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '刘老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '罗老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '马老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '潘老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '沈老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '王老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '许老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '范老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '孔老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '李老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '熊老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '徐老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '张老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '刘老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '郑老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '柏老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '苏老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '王老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '张老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '伍老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '万老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '朱老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '梁老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '郑老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '郑老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '陈老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '韩老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '梁老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '刘老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '刘老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '卢老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '石老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '孙老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '王老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '邢老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '王老师', 'title': '高级讲师', 'hello': 'world'}
